Date,City,Coffee Type,Price,Cups Sold,Revenue
2023-05-01,Manila,Café starfruit latte,2.09,17,35.53
2023-05-28,Rome,Café gingerbread mocha,6.09,16,97.44
2023-06-28,Tokyo,Café coconut latte,7.7,24,184.8
2023-09-26,Rome,Café chamomile latte,4.92,14,68.88
2023-07-21,Berlin,Café lavender latte,4.67,29,135.43
2023-01-18,Jakarta,Café latte macchiato,2.88,13,37.44
2023-10-02,Toronto,Café mangosteen latte,4.93,16,78.88
2023-07-30,Dhaka,Café cannoli latte,2.21,25,55.25
2023-12-30,Manila,Café caramel macchiato,2.15,53,113.95
2023-10-01,Lagos,Café coconut latte,2.46,37,91.02
2023-06-20,Istanbul,Café con Panna,6.29,15,94.35
2023-10-24,Paris,Cappuccino,6.99,22,153.78
2023-02-15,São Paulo,Café date latte,4.22,14,59.08
2023-02-03,Hong Kong,Flat White,6.92,13,89.96
2023-11-13,Istanbul,Café s'mores latte,6.3,33,207.9
2023-09-28,Kuala Lumpur,Café hibiscus latte,4.25,19,80.75
2023-03-01,Dhaka,Macchiato,1.66,12,19.92
2023-04-02,Tokyo,Café con Panna,8.35,24,200.4
2023-02-10,Delhi,Frappuccino,3.36,10,33.6
2023-11-05,Berlin,Café chai latte,6.16,28,172.48
2023-11-24,Bogotá,Café walnut latte,3.88,23,89.24
2023-01-15,London,Macchiato,6.87,57,391.59
2023-08-28,Beijing,Café mixed berry latte,5.55,11,61.05
2023-10-31,Vienna,Café Miel,9.23,29,267.67
2023-01-15,Bangalore,Café dulce de leche latte,2.56,12,30.72
2023-11-05,Bangalore,Café caramel mocha,3.08,19,58.52
2023-07-03,Casablanca,Café hazelnut mocha,3.6,15,54.0
2023-09-21,Hanoi,Café Liégeois,3.68,8,29.44
2023-07-24,Oslo,Café cherimoya latte,7.31,27,197.37
2023-08-05,Hanoi,Cold Brew,2.85,51,145.35
2023-12-29,New York,Café salak latte,6.95,28,194.6
2023-01-17,Surat,Café mixed berry latte,1.98,6,11.88
2023-02-25,Buenos Aires,Café cranberry latte,3.55,33,117.15
2023-01-20,Oslo,Café salak latte,8.14,10,81.4
2023-06-16,Bogotá,Cafe Cubano,4.42,11,48.62
2023-05-02,Warsaw,Cafe Zorro,4.49,28,125.72
2023-05-13,Paris,Café banana latte,8.31,27,224.37
2023-10-26,Nairobi,Café cannoli latte,2.88,15,43.2
2023-06-20,Bangalore,Frappuccino,2.95,11,32.45
2023-11-24,Nairobi,Café lychee latte,2.43,10,24.3
2023-07-06,Vienna,Café cannoli latte,5.15,17,87.55
2023-01-12,Copenhagen,Café jasmine latte,6.97,25,174.25
2023-10-28,Tokyo,Café rambutan latte,5.31,39,207.09
2023-05-23,Oslo,Café clove latte,7.66,22,168.52
2023-10-12,Auckland,Café honey almond latte,5.94,19,112.86
2023-10-02,Mumbai,Café cherimoya latte,2.19,16,35.04
2023-03-16,Nairobi,Frappuccino,3.74,18,67.32
2023-11-27,Singapore,Flat White,5.33,18,95.94
2023-07-19,Budapest,Café rambutan latte,2.86,28,80.08
2023-10-31,Warsaw,Irish Coffee,4.62,14,64.68
2023-05-27,Santiago,Café coconut cream latte,2.83,36,101.88
2023-12-26,Auckland,Café frappé,7.48,32,239.36
2023-01-29,Oslo,Cafe Cubano,9.3,25,232.5
2023-12-06,Oslo,Café starfruit latte,5.91,10,59.1
2023-06-23,Lisbon,Black Eye,2.52,28,70.56
2023-09-21,Rome,Café rosehip latte,4.43,25,110.75
2023-02-06,Dhaka,Café toffee nut latte,2.53,7,17.71
2023-03-19,Melbourne,Café toffee nut latte,4.77,42,200.34
2023-07-05,Athens,Café coconut cream latte,4.39,15,65.85
2023-03-20,Hanoi,Café strawberry latte,3.12,10,31.2
2023-08-23,Toronto,Café latte macchiato,7.1,11,78.1
2023-07-23,Dhaka,Irish Coffee,2.99,20,59.8
2023-02-16,Berlin,Bulletproof Coffee,7.46,12,89.52
2023-05-29,Stockholm,Café mocha frappé,8.14,16,130.24
2023-10-22,Istanbul,Café soursop latte,4.14,50,207.0
2023-01-02,Rome,Café con Hielo,8.26,14,115.64
2023-11-16,Dubai,Café lavender latte,7.78,33,256.74
2023-11-04,Sydney,Café cinnamon roll latte,6.28,45,282.6
2023-07-20,Riyadh,Café spiced turmeric latte,4.78,25,119.5
2023-12-31,Lima,Café kumquat latte,3.69,19,70.11
2023-07-25,Santiago,Macchiato,3.98,14,55.72
2023-04-01,Beijing,Café chamomile latte,4.84,32,154.88
2023-06-22,Toronto,Cafe con Leche,8.36,30,250.8
2023-05-05,Bogotá,Café mixed berry latte,2.7,20,54.0
2023-10-14,Mexico City,Café pistachio latte,2.82,18,50.76
2023-10-10,Delhi,Café tres leches latte,2.35,20,47.0
2023-08-14,Bangalore,Bulletproof Coffee,3.89,24,93.36
2023-02-06,Oslo,Café caramel mocha,8.55,25,213.75
2023-11-03,Hong Kong,Café tropical latte,6.14,28,171.92
2023-06-05,Mumbai,Café tiramisu latte,2.63,16,42.08
2023-12-11,Manila,Café banana latte,2.92,20,58.4
2023-12-10,Surat,Café maple walnut latte,2.43,27,65.61
2023-12-21,Lisbon,Café salak latte,4.76,32,152.32
2023-05-01,Santiago,Café Miel,4.39,11,48.29
2023-08-13,Beijing,Café honey almond latte,5.77,17,98.09
2023-11-15,Lisbon,Espresso,3.92,28,109.76
2023-08-29,Prague,Cold Brew,4.54,27,122.58
2023-05-28,São Paulo,Café pomegranate latte,2.82,38,107.16
2023-01-06,Singapore,Café pumpkin pie latte,8.01,15,120.15
2023-03-09,Colombo,Café fig latte,1.79,15,26.85
2023-06-11,Hong Kong,Café glacé,9.88,25,247.0
2023-11-29,Surat,Espresso,1.49,11,16.39
2023-03-29,Budapest,Café cinnamon mocha,4.54,30,136.2
2023-02-13,Rome,Café pomegranate latte,4.21,10,42.1
2023-11-15,Kuala Lumpur,Café pineapple latte,3.95,36,142.2
2023-11-02,Zurich,Café breadfruit latte,6.57,33,216.81
2023-08-30,Hong Kong,Cold Brew,9.0,25,225.0
2023-07-19,Zurich,Café starfruit latte,7.57,30,227.1
2023-03-18,Toronto,Café acai latte,5.89,16,94.24
2023-10-04,Hong Kong,Café hibiscus latte,7.31,17,124.27
2023-11-28,Madrid,Café coconut cream latte,4.39,10,43.9
2023-07-14,London,Café starfruit latte,7.34,13,95.42
2023-12-15,Singapore,Café macadamia latte,6.49,14,90.86
2023-12-07,São Paulo,Café chamomile latte,3.5,32,112.0
2023-11-13,Toronto,Cafe Breve,6.89,32,220.48
2023-05-06,Rome,Café chamomile latte,6.4,21,134.4
2023-12-27,Brussels,Café guava latte,5.09,31,157.79
2023-01-01,Riyadh,Café peppermint latte,5.97,46,274.62
2023-04-12,Casablanca,Café lemongrass latte,3.14,16,50.24
2023-01-08,Jakarta,Café cinnamon mocha,3.64,34,123.76
2023-01-26,Vienna,Irish Coffee,7.61,15,114.15
2023-06-08,Lima,Café tiramisu latte,3.3,8,26.4
2023-10-12,Tel Aviv,Americano,5.17,14,72.38
2023-05-22,New York,Other,10.24,12,122.88
2023-10-03,Stockholm,Café fig latte,6.09,25,152.25
2023-04-03,Lagos,Café cinnamon mocha,2.27,16,36.32
2023-09-25,Prague,Cafe Breve,7.09,15,106.35
2023-02-03,Mumbai,Red Eye,1.48,7,10.36
2023-02-27,Nairobi,Café chamomile latte,2.45,10,24.5
2023-12-24,Berlin,Affogato,6.92,29,200.68
2023-07-14,Stockholm,Café s'mores latte,6.48,11,71.28
2023-02-17,Santiago,Café con Panna,6.04,17,102.68
2023-06-04,Kuala Lumpur,Café acai latte,4.14,20,82.8
2023-09-27,Hong Kong,Nitro Coffee,8.32,16,133.12
2023-07-18,Dubai,Café pomegranate latte,7.43,11,81.73
2023-04-09,Surat,Café Viennois,3.25,21,68.25
2023-01-23,Casablanca,Cortado,2.8,24,67.2
2023-12-03,Kuala Lumpur,Café chestnut latte,2.87,41,117.67
2023-02-03,Hong Kong,Café Viennois,11.31,8,90.48
2023-08-20,Kuala Lumpur,Café spiced mocha,3.87,33,127.71
2023-09-26,Casablanca,Café spiced turmeric latte,3.24,27,87.48
2023-01-26,Rome,Café quince latte,6.36,22,139.92
2023-08-01,Istanbul,Café sapodilla latte,4.28,36,154.08
2023-04-05,Stockholm,Café persimmon latte,6.74,20,134.8
2023-07-31,Singapore,Café matcha latte,6.21,18,111.78
2023-10-16,Nairobi,Café caramel macchiato,3.22,9,28.98
2023-12-23,Colombo,Café cinnamon mocha,2.45,31,75.95
2023-04-19,Kuala Lumpur,Café pineapple latte,3.55,25,88.75
2023-08-03,Cairo,Café apple pie latte,2.81,23,64.63
2023-07-30,Zurich,Café blackberry latte,8.2,35,287.0
2023-02-07,Cape Town,Café gingerbread mocha,5.21,18,93.78
2023-05-29,Cape Town,Café mocha frappé,4.14,11,45.54
2023-04-21,Prague,Café Viennois,6.98,13,90.74
2023-03-20,Budapest,Café clove latte,3.77,10,37.7
2023-08-31,Mumbai,Café raspberry latte,2.63,24,63.12
2023-07-25,Rome,Café mocha frappé,6.04,25,151.0
2023-10-26,Mexico City,Café hazelnut mocha,4.12,16,65.92
2023-04-12,Hanoi,Café durian latte,3.15,14,44.1
2023-01-03,Colombo,Café rambutan latte,1.68,21,35.28
2023-04-19,Colombo,Cold Brew,2.86,18,51.48
2023-04-17,Bangalore,Turkish Coffee,3.1,8,24.8
2023-09-21,Bogotá,Café macadamia latte,3.36,23,77.28
2023-11-20,Johannesburg,Doppio,2.78,31,86.18
2023-04-23,Shanghai,Café cannoli latte,4.38,49,214.62
2023-07-25,Vienna,Café allspice latte,5.08,8,40.64
2023-09-10,Budapest,Café raspberry latte,4.5,19,85.5
2023-07-02,São Paulo,Café matcha latte,4.04,26,105.04
2023-01-15,Rome,Café con Panna,6.29,31,194.99
2023-12-14,Seoul,Café pistachio latte,5.36,26,139.36
2023-03-14,Auckland,Café raspberry latte,4.41,28,123.48
2023-05-16,Athens,Café coconut cream latte,3.63,20,72.6
2023-05-28,Auckland,Ristretto,3.93,32,125.76
2023-02-08,São Paulo,Café persimmon latte,3.33,22,73.26
2023-05-26,Delhi,Café persimmon latte,2.04,14,28.56
2023-08-17,Mumbai,Café earl grey latte,2.2,24,52.8
2023-10-14,Athens,Latte,5.3,16,84.8
2023-11-02,Warsaw,Café kumquat latte,3.57,26,92.82
2023-11-24,Auckland,Café lychee latte,4.07,39,158.73
2023-06-06,Budapest,Café rambutan latte,3.23,17,54.91
2023-09-22,Hanoi,Café hazelnut mocha,3.78,13,49.14
2023-12-19,Santiago,Cortado,4.19,32,134.08
2023-10-29,Budapest,Café macadamia latte,3.39,17,57.63
2023-06-25,Manila,Café dragon fruit latte,2.69,31,83.39
2023-04-18,Istanbul,Café quince latte,4.73,26,122.98
2023-07-04,Warsaw,Café mixed berry latte,4.09,16,65.44
2023-09-16,Buenos Aires,Flat White,2.56,34,87.04
2023-12-20,Auckland,Café toffee nut latte,4.6,19,87.4
2023-12-06,Amsterdam,Café pumpkin spice latte,6.37,10,63.7
2023-08-24,Taipei,Café dirty chai,7.28,24,174.72
2023-05-07,Lagos,Other,2.45,20,49.0
2023-06-14,Bangalore,Café nutmeg latte,2.42,22,53.24
2023-04-26,Lagos,Americano,1.68,12,20.16
2023-07-26,Athens,Café tres leches latte,3.6,24,86.4
2023-05-25,Singapore,Café baklava latte,7.51,14,105.14
2023-02-06,Riyadh,Café dark chocolate mocha,5.89,13,76.57
2023-12-02,Johannesburg,Café rambutan latte,2.94,40,117.6
2023-07-10,Lisbon,Café peppermint mocha,6.38,9,57.42
2023-12-10,Manila,Café honey almond latte,2.51,37,92.87
2023-05-21,Budapest,Café churro latte,3.55,30,106.5
2023-01-24,Jakarta,Café Marocchino,3.64,19,69.16
2023-07-07,Mumbai,Café lychee latte,3.05,23,70.15
2023-05-31,Colombo,Café persimmon latte,1.65,14,23.1
2023-02-08,Seoul,Café dark chocolate mocha,7.15,30,214.5
2023-07-08,Melbourne,Café glacé,6.37,31,197.47
2023-04-12,Riyadh,Café con Hielo,8.24,13,107.12
2023-09-02,Madrid,Café earl grey latte,5.64,27,152.28
2023-11-28,Singapore,Vienna Coffee,11.22,22,246.84
2023-03-23,Warsaw,Café earl grey latte,3.22,16,51.52
2023-08-27,London,Cafe Cubano,8.27,26,215.02
2023-10-20,Bogotá,Café cranberry latte,3.31,8,26.48
2023-03-11,Surat,Café oat latte,2.2,31,68.2
2023-01-15,Brussels,Café vanilla latte,4.58,23,105.34
2023-04-07,Taipei,Café pumpkin spice latte,4.15,15,62.25
2023-11-28,Santiago,Café coconut cream latte,3.88,37,143.56
2023-03-01,Istanbul,Café cranberry latte,5.17,9,46.53
2023-04-24,Berlin,Café latte macchiato,6.78,28,189.84
2023-10-29,Karachi,Café frappé,2.45,26,63.7
2023-06-17,Warsaw,Cafe Breve,5.11,25,127.75
2023-12-10,Riyadh,Café mango latte,4.0,36,144.0
2023-01-15,Seoul,Café Marocchino,6.88,55,378.4
2023-10-16,Cape Town,Café pumpkin spice latte,4.5,19,85.5
2023-11-15,Colombo,Café blueberry latte,1.99,19,37.81
2023-04-02,Karachi,Café pumpkin pie latte,1.88,29,54.52
2023-08-26,São Paulo,Café cherimoya latte,4.31,19,81.89
2023-09-03,Bangalore,Café pistachio latte,2.32,26,60.32
2023-07-18,New York,Red Eye,4.28,20,85.6
2023-08-31,Jakarta,Café honey almond latte,2.01,24,48.24
2023-08-18,New York,Café pumpkin pie latte,9.08,16,145.28
2023-08-03,São Paulo,Café cinnamon mocha,4.02,16,64.32
2023-05-29,London,Café pistachio latte,8.09,22,177.98
2023-04-15,Karachi,Café Touba,2.96,35,103.6
2023-09-21,Bogotá,Red Eye,2.35,27,63.45
2023-01-17,Bangalore,Café caramel macchiato,2.6,12,31.2
2023-08-11,Colombo,Café fig latte,2.3,17,39.1
2023-03-16,Brussels,Cortado,5.84,26,151.84
2023-02-21,Sydney,Flat White,8.31,19,157.89
2023-09-15,Athens,Café mangosteen latte,5.38,24,129.12
2023-02-22,Bogotá,Café turmeric latte,2.63,26,68.38
2023-02-16,Paris,Red Eye,4.95,21,103.95
2023-07-03,Paris,Café maple walnut latte,6.91,15,103.65
2023-04-27,Manila,Café chamomile latte,2.66,12,31.92
2023-02-16,Lima,Cafe Cubano,3.66,17,62.22
2023-04-25,Taipei,Café almond latte,4.43,25,110.75
2023-05-07,Amsterdam,Café clove latte,4.81,27,129.87
2023-04-30,Kuala Lumpur,Café baklava latte,4.39,35,153.65
2023-09-02,Shanghai,Café passion fruit latte,4.24,46,195.04
2023-06-20,Melbourne,Café golden latte,5.55,29,160.95
2023-09-03,Rome,Café walnut latte,6.17,41,252.97
2023-03-14,Taipei,Café breadfruit latte,4.33,23,99.59
2023-11-04,Mexico City,Café spiced mocha,4.71,58,273.18
2023-09-17,Athens,Café con Panna,7.34,44,322.96
2023-11-28,Bogotá,Café soy latte,2.66,35,93.1
2023-05-04,Amsterdam,Café blueberry latte,4.89,14,68.46
2023-11-13,Hanoi,Other,4.35,37,160.95
2023-08-04,Riyadh,Café lychee latte,5.84,27,157.68
2023-02-15,Karachi,Café mangosteen latte,2.17,10,21.7
2023-02-17,Shanghai,Café lavender latte,4.97,8,39.76
2023-01-15,Singapore,Café rose latte,7.15,17,121.55
2023-07-01,Cape Town,Café vanilla latte,4.14,38,157.32
2023-06-06,Athens,Café blueberry latte,5.41,17,91.97
2023-02-15,Dhaka,Café mocha frappé,2.95,17,50.15
2023-12-09,Buenos Aires,Irish Coffee,4.41,28,123.48
2023-11-26,Berlin,Café coconut latte,6.44,20,128.8
2023-12-10,Lagos,Doppio,1.28,31,39.68
2023-06-03,Bangalore,Café spiced turmeric latte,2.89,55,158.95
2023-07-21,Berlin,Café caramel mocha,6.25,22,137.5
2023-04-01,Cairo,Café royale,3.61,18,64.98
2023-04-06,Stockholm,Café raspberry latte,6.99,23,160.77
2023-11-09,Zurich,Black Eye,5.85,37,216.45
2023-11-16,Santiago,Café matcha latte,2.97,15,44.55
2023-04-23,Sydney,Café blackberry latte,7.6,18,136.8
2023-10-23,Santiago,Café breadfruit latte,4.23,26,109.98
2023-12-14,Rome,Café cinnamon roll latte,5.51,32,176.32
2023-12-23,Riyadh,Café longan latte,5.49,45,247.05
2023-04-16,Oslo,Iced Coffee,9.76,47,458.72
2023-04-26,Mexico City,Café golden latte,2.81,15,42.15
2023-05-10,Riyadh,Cafe Zorro,8.27,9,74.43
2023-12-29,Shanghai,Café cardamom latte,6.25,14,87.5
2023-04-24,Shanghai,Café dirty chai,8.83,24,211.92
2023-04-16,Singapore,Café sapodilla latte,8.04,16,128.64
2023-02-16,Buenos Aires,Café hazelnut latte,3.79,27,102.33
2023-07-19,Manila,Café date latte,2.39,25,59.75
2023-09-12,Buenos Aires,Café coconut cream latte,3.15,8,25.2
2023-01-24,Tokyo,Café dulce de leche latte,7.91,34,268.94
2023-06-21,Berlin,Café cardamom latte,4.47,18,80.46
2023-07-18,New York,Café chai latte,7.83,28,219.24
2023-11-02,Casablanca,Café ginger latte,3.56,35,124.6
2023-07-01,Athens,Café turmeric ginger latte,5.77,20,115.4
2023-10-22,Lima,Café peppermint latte,2.68,49,131.32
2023-01-27,Riyadh,Café toffee nut latte,4.99,23,114.77
2023-11-22,Lima,Café caramel macchiato,2.8,20,56.0
2023-08-07,Taipei,Other,7.7,11,84.7
2023-02-16,Budapest,Café nutmeg latte,4.32,8,34.56
2023-10-10,Brussels,Café toffee nut latte,5.67,26,147.42
2023-08-13,Bangkok,Café Touba,5.09,27,137.43
2023-01-21,Lagos,Café baklava latte,1.65,16,26.4
2023-02-14,Madrid,Cafe de Olla,8.8,20,176.0
2023-04-15,Hanoi,Café gingerbread mocha,3.05,25,76.25
2023-09-30,Zurich,Mocha,9.85,17,167.45
2023-06-07,Shanghai,Café ginger latte,5.82,23,133.86
2023-06-17,Brussels,Black Eye,2.81,31,87.11
2023-05-03,Lisbon,Cappuccino,3.65,16,58.4
2023-03-04,Singapore,Café cherimoya latte,7.86,48,377.28
2023-05-07,Budapest,Café banana latte,2.97,48,142.56
2023-08-10,Casablanca,Latte,2.52,27,68.04
2023-12-30,Manila,Café coconut cream latte,2.82,53,149.46
2023-04-19,Brussels,Ristretto,4.7,23,108.1
2023-01-20,Budapest,Café churro latte,3.75,9,33.75
2023-03-15,Nairobi,Café dulce de leche latte,2.46,15,36.9
2023-01-24,Mexico City,Café dirty chai,4.57,27,123.39
2023-02-05,Warsaw,Café turmeric ginger latte,3.7,39,144.3
2023-09-28,Oslo,Café walnut latte,8.33,23,191.59
2023-09-03,Oslo,Black Eye,5.4,46,248.4
2023-06-25,Madrid,Café durian latte,5.63,43,242.09
2023-04-09,Dubai,Café royale,9.59,29,278.11
2023-06-25,Dhaka,Café chamomile latte,2.59,14,36.26
2023-11-08,Amsterdam,Café banana latte,4.78,39,186.42
2023-02-14,Buenos Aires,Ristretto,2.66,16,42.56
2023-07-22,New York,Cafe au Lait,12.59,28,352.52
2023-03-19,London,Café matcha latte,6.41,48,307.68
2023-01-22,Athens,Café Touba,7.37,20,147.4
2023-12-24,Bogotá,Café acai latte,3.78,62,234.36
2023-01-07,London,Café blackberry latte,8.76,49,429.24
2023-05-10,Johannesburg,Café blackberry latte,4.42,25,110.5
2023-12-07,Surat,Cortado,2.36,31,73.16
2023-03-26,Vienna,Café breadfruit latte,5.67,16,90.72
2023-09-01,Casablanca,Café hibiscus latte,3.79,21,79.59
2023-01-17,Buenos Aires,Black Eye,2.07,20,41.4
2023-02-07,Auckland,Café dulce de leche latte,4.34,12,52.08
2023-11-19,Cape Town,Café jasmine latte,3.06,52,159.12
2023-03-10,Kuala Lumpur,Café caramel mocha,4.0,19,76.0
2023-04-07,Santiago,Café flan latte,4.0,30,120.0
2023-04-28,New York,Café raspberry latte,8.98,36,323.28
2023-06-18,Toronto,Café durian latte,5.51,27,148.77
2023-08-22,Bogotá,Iced Coffee,4.43,28,124.04
2023-10-21,Hanoi,Café coconut latte,2.48,29,71.92
2023-12-05,Warsaw,Café apple pie latte,3.62,32,115.84
2023-09-08,Stockholm,Café lemongrass latte,5.39,9,48.51
2023-12-17,Beijing,Café breadfruit latte,6.33,31,196.23
2023-03-23,São Paulo,Café ginger latte,3.79,21,79.59
2023-03-01,Lagos,Café cinnamon roll latte,1.96,20,39.2
2023-06-06,London,Café Bombón,10.45,33,344.85
2023-05-14,Kathmandu,Café tiramisu latte,2.06,33,67.98
2023-05-29,Manila,Café rose latte,2.55,17,43.35
2023-08-24,Kathmandu,Café churro latte,2.35,29,68.15
2023-09-09,Jakarta,Espresso,1.56,18,28.08
2023-10-14,Taipei,Other,6.48,15,97.2
2023-08-30,Budapest,Espresso,2.46,16,39.36
2023-05-17,Berlin,Café coconut cream latte,7.0,29,203.0
2023-10-09,Bangalore,Café blackberry latte,2.31,20,46.2
2023-11-18,Singapore,Cafe con Leche,7.54,26,196.04
2023-08-21,Brussels,Latte,5.02,21,105.42
2023-11-13,Hong Kong,Café tiramisu latte,5.86,16,93.76
2023-08-16,Bangalore,Café turmeric ginger latte,2.24,6,13.44
2023-07-25,Hanoi,Café turmeric latte,3.01,19,57.19
2023-03-25,Toronto,Café matcha latte,5.3,39,206.7
2023-07-13,Lisbon,Café spiced turmeric latte,5.08,42,213.36
2023-10-05,Tel Aviv,Café peppermint mocha,9.26,26,240.76
2023-11-04,Johannesburg,Café dragon fruit latte,3.94,26,102.44
2023-05-05,Beijing,Café tropical latte,5.17,11,56.87
2023-07-13,Auckland,Café con Hielo,8.18,15,122.7
2023-02-24,Taipei,Café Viennois,8.03,11,88.33
2023-09-04,Seoul,Café cinnamon roll latte,5.35,14,74.9
2023-06-21,Singapore,Café starfruit latte,5.22,20,104.4
2023-04-21,Lisbon,Café lychee latte,4.38,14,61.32
2023-06-30,Melbourne,Nitro Coffee,7.5,13,97.5
2023-04-07,Buenos Aires,Café cannoli latte,2.62,15,39.3
2023-02-06,Brussels,Café macadamia latte,5.86,8,46.88
2023-11-15,Singapore,Café clove latte,7.24,29,209.96
2023-07-05,Mumbai,Bulletproof Coffee,3.02,10,30.2
2023-10-12,Zurich,Café Marocchino,8.51,19,161.69
2023-03-05,Dhaka,Café earl grey latte,1.68,16,26.88
2023-04-19,Lima,Café mixed berry latte,2.41,18,43.38
2023-04-09,New York,Café soy latte,6.62,44,291.28
2023-10-26,Oslo,Cafe de Olla,10.22,28,286.16
2023-12-16,Delhi,Iced Coffee,3.08,52,160.16
2023-02-26,Colombo,Cafe Cubano,2.62,30,78.6
2023-10-18,Vienna,Café s'mores latte,6.41,17,108.97
2023-05-28,Riyadh,Café lychee latte,6.39,24,153.36
2023-10-11,Hanoi,Café Miel,3.71,24,89.04
2023-12-15,Toronto,Café pumpkin pie latte,6.35,35,222.25
2023-05-15,Stockholm,Café lavender latte,6.4,25,160.0
2023-08-29,Amsterdam,Cafe con Leche,9.31,19,176.89
